Date,Brand Alias,Ad group alias,ASIN/SKU Alias,Marketplace,Impressions,Clicks,Spend,Sales,Orders,Units,Advertised Units sold,Other SKU units sold,Advertised SKU Sales,Other SKU sales
"Oct 17, 2021",Brand 1,Brand 1 Ad Group 10,ASIN414,Walmart,33,0,$0.00,$0.00,0,0,0,0,$0.00,$0.00
"Oct 17, 2021",Brand 1,Brand 1 Ad Group 11,ASIN385,Walmart,0,0,$0.00,$0.00,0,0,0,0,$0.00,$0.00
"Oct 17, 2021",Brand 1,Brand 1 Ad Group 11,ASIN389,Walmart,0,0,$0.00,$0.00,0,0,0,0,$0.00,$0.00
"Oct 17, 2021",Brand 1,Brand 1 Ad Group 13,ASIN377,Walmart,380,8,$2.34,$0.00,0,0,0,0,$0.00,$0.00
"Oct 17, 2021",Brand 1,Brand 1 Ad Group 13,ASIN399,Walmart,3805,7,$6.68,$0.00,0,0,0,0,$0.00,$0.00
"Oct 17, 2021",Brand 1,Brand 1 Ad Group 13,ASIN405,Walmart,71,0,$0.00,$0.00,0,0,0,0,$0.00,$0.00
"Oct 17, 2021",Brand 1,Brand 1 Ad Group 13,ASIN410,Walmart,552,2,$0.46,$0.00,0,0,0,0,$0.00,$0.00
"Oct 17, 2021",Brand 1,Brand 1 Ad Group 2,ASIN379,Walmart,0,0,$0.00,$0.00,0,0,0,0,$0.00,$0.00
"Oct 17, 2021",Brand 1,Brand 1 Ad Group 2,ASIN386,Walmart,4638,34,$11.51,$224.96,4,4,3,1,$164.97,$59.99
"Oct 17, 2021",Brand 1,Brand 1 Ad Group 2,ASIN391,Walmart,6497,90,$49.36,$885.34,15,15,9,6,$539.91,$345.43
"Oct 17, 2021",Brand 1,Brand 1 Ad Group 4,ASIN395,Walmart,0,0,$0.00,$0.00,0,0,0,0,$0.00,$0.00
"Oct 17, 2021",Brand 1,Brand 1 Ad Group 4,ASIN400,Walmart,5341,21,$3.16,$54.99,1,1,0,1,$0.00,$54.99
"Oct 17, 2021",Brand 1,Brand 1 Ad Group 4,ASIN404,Walmart,7284,36,$6.32,$0.00,0,0,0,0,$0.00,$0.00
"Oct 17, 2021",Brand 1,Brand 1 Ad Group 5,ASIN397,Walmart,17,1,$0.65,$49.98,1,2,2,0,$49.98,$0.00
"Oct 17, 2021",Brand 1,Brand 1 Ad Group 7,ASIN401,Walmart,291,6,$1.50,$0.00,0,0,0,0,$0.00,$0.00
"Oct 17, 2021",Brand 1,Brand 1 Ad Group 8,ASIN407,Walmart,103,1,$0.17,$0.00,0,0,0,0,$0.00,$0.00
"Oct 17, 2021",Brand 2,Brand 2 Ad Group 1,ASIN444,Walmart,9893,50,$36.49,$861.79,10,11,4,7,$375.96,$485.83
"Oct 17, 2021",Brand 2,Brand 2 Ad Group 1,ASIN447,Walmart,8808,39,$29.72,$523.12,7,8,2,6,$169.98,$353.14
"Oct 17, 2021",Brand 2,Brand 2 Ad Group 1,ASIN450,Walmart,7132,24,$17.46,$307.97,3,3,1,2,$266.99,$40.98
"Oct 17, 2021",Brand 2,Brand 2 Ad Group 1,ASIN455,Walmart,23399,75,$49.32,$385.88,7,8,6,2,$243.90,$141.98
"Oct 17, 2021",Brand 2,Brand 2 Ad Group 1,ASIN459,Walmart,49869,93,$96.73,$825.91,9,9,5,4,$419.95,$405.96
"Oct 17, 2021",Brand 2,Brand 2 Ad Group 1,ASIN463,Walmart,4624,14,$13.60,$252.99,1,1,0,1,$0.00,$252.99
"Oct 17, 2021",Brand 2,Brand 2 Ad Group 1,ASIN469,Walmart,5232,10,$7.28,$254.98,2,2,1,1,$157.99,$96.99
"Oct 17, 2021",Brand 2,Brand 2 Ad Group 1,ASIN473,Walmart,0,0,$0.00,$0.00,0,0,0,0,$0.00,$0.00
"Oct 17, 2021",Brand 2,Brand 2 Ad Group 2,ASIN476,Walmart,0,0,$0.00,$0.00,0,0,0,0,$0.00,$0.00
"Oct 17, 2021",Brand 2,Brand 2 Ad Group 2,ASIN480,Walmart,0,0,$0.00,$0.00,0,0,0,0,$0.00,$0.00
"Oct 17, 2021",Brand 2,Brand 2 Ad Group 2,ASIN484,Walmart,23319,69,$53.46,$468.93,4,7,1,6,$109.99,$358.94
"Oct 17, 2021",Brand 2,Brand 2 Ad Group 2,ASIN488,Walmart,3308,7,$4.38,$0.00,0,0,0,0,$0.00,$0.00
"Oct 17, 2021",Brand 2,Brand 2 Ad Group 2,ASIN492,Walmart,8786,19,$15.52,$79.99,1,1,0,1,$0.00,$79.99
"Oct 17, 2021",Brand 2,Brand 2 Ad Group 2,ASIN496,Walmart,35103,53,$39.16,$159.57,1,1,0,1,$0.00,$159.57
"Oct 17, 2021",Brand 2,Brand 2 Ad Group 2,ASIN501,Walmart,0,0,$0.00,$0.00,0,0,0,0,$0.00,$0.00
"Oct 17, 2021",Brand 2,Brand 2 Ad Group 2,ASIN507,Walmart,1297,2,$1.12,$0.00,0,0,0,0,$0.00,$0.00
"Oct 17, 2021",Brand 2,Brand 2 Ad Group 3,ASIN511,Walmart,31939,118,$109.91,$830.01,10,10,5,5,$444.95,$385.06
"Oct 17, 2021",Brand 2,Brand 2 Ad Group 3,ASIN515,Walmart,1588,3,$3.06,$0.00,0,0,0,0,$0.00,$0.00
"Oct 17, 2021",Brand 2,Brand 2 Ad Group 3,ASIN520,Walmart,15543,18,$9.43,$52.99,1,1,1,0,$52.99,$0.00
"Oct 17, 2021",Brand 2,Brand 2 Ad Group 5,ASIN618,Walmart,1119,2,$2.06,$0.00,0,0,0,0,$0.00,$0.00
"Oct 18, 2021",Brand 1,Brand 1 Ad Group 10,ASIN414,Walmart,30,1,$0.26,$0.00,0,0,0,0,$0.00,$0.00
"Oct 18, 2021",Brand 1,Brand 1 Ad Group 11,ASIN385,Walmart,0,0,$0.00,$0.00,0,0,0,0,$0.00,$0.00
"Oct 18, 2021",Brand 1,Brand 1 Ad Group 11,ASIN391,Walmart,0,0,$0.00,$0.00,0,0,0,0,$0.00,$0.00
"Oct 18, 2021",Brand 1,Brand 1 Ad Group 13,ASIN377,Walmart,321,3,$0.59,$0.00,0,0,0,0,$0.00,$0.00
"Oct 18, 2021",Brand 1,Brand 1 Ad Group 13,ASIN399,Walmart,2385,1,$0.44,$0.00,0,0,0,0,$0.00,$0.00
"Oct 18, 2021",Brand 1,Brand 1 Ad Group 13,ASIN405,Walmart,535,1,$0.22,$0.00,0,0,0,0,$0.00,$0.00
"Oct 18, 2021",Brand 1,Brand 1 Ad Group 13,ASIN410,Walmart,444,4,$1.22,$0.00,0,0,0,0,$0.00,$0.00
"Oct 18, 2021",Brand 1,Brand 1 Ad Group 2,ASIN379,Walmart,0,0,$0.00,$0.00,0,0,0,0,$0.00,$0.00
"Oct 18, 2021",Brand 1,Brand 1 Ad Group 2,ASIN386,Walmart,3857,46,$19.50,$274.95,5,5,3,2,$164.97,$109.98
"Oct 18, 2021",Brand 1,Brand 1 Ad Group 2,ASIN391,Walmart,3006,38,$20.94,$69.99,1,1,0,1,$0.00,$69.99
"Oct 18, 2021",Brand 1,Brand 1 Ad Group 4,ASIN395,Walmart,0,0,$0.00,$0.00,0,0,0,0,$0.00,$0.00
"Oct 18, 2021",Brand 1,Brand 1 Ad Group 4,ASIN400,Walmart,4049,25,$3.70,$32.99,1,1,1,0,$32.99,$0.00
"Oct 18, 2021",Brand 1,Brand 1 Ad Group 4,ASIN404,Walmart,11057,47,$7.79,$94.98,2,2,1,1,$54.99,$39.99
"Oct 18, 2021",Brand 1,Brand 1 Ad Group 5,ASIN397,Walmart,13,3,$1.52,$0.00,0,0,0,0,$0.00,$0.00
"Oct 18, 2021",Brand 1,Brand 1 Ad Group 7,ASIN401,Walmart,438,6,$1.30,$69.98,2,2,2,0,$69.98,$0.00
"Oct 18, 2021",Brand 1,Brand 1 Ad Group 8,ASIN407,Walmart,115,7,$1.90,$0.00,0,0,0,0,$0.00,$0.00
"Oct 18, 2021",Brand 2,Brand 2 Ad Group 1,ASIN444,Walmart,11410,79,$68.84,"$1,390.40",18,20,10,10,$939.90,$450.50
"Oct 18, 2021",Brand 2,Brand 2 Ad Group 1,ASIN447,Walmart,7333,24,$16.08,$157.27,3,3,0,3,$0.00,$157.27
"Oct 18, 2021",Brand 2,Brand 2 Ad Group 1,ASIN450,Walmart,4004,4,$2.70,$0.00,0,0,0,0,$0.00,$0.00
"Oct 18, 2021",Brand 2,Brand 2 Ad Group 1,ASIN455,Walmart,1528,3,$1.26,$0.00,0,0,0,0,$0.00,$0.00
"Oct 18, 2021",Brand 2,Brand 2 Ad Group 1,ASIN459,Walmart,0,0,$0.00,$0.00,0,0,0,0,$0.00,$0.00
"Oct 18, 2021",Brand 2,Brand 2 Ad Group 1,ASIN463,Walmart,18824,38,$33.85,$352.98,2,2,1,1,$258.99,$93.99
"Oct 18, 2021",Brand 2,Brand 2 Ad Group 1,ASIN469,Walmart,0,0,$0.00,$0.00,0,0,0,0,$0.00,$0.00
"Oct 18, 2021",Brand 2,Brand 2 Ad Group 1,ASIN473,Walmart,0,0,$0.00,$0.00,0,0,0,0,$0.00,$0.00
"Oct 18, 2021",Brand 2,Brand 2 Ad Group 2,ASIN476,Walmart,130520,476,$367.03,$598.13,6,7,2,5,$235.98,$362.15
